date,tmax,tmin,prcp,snow
2016-01-06,39.38,36.5,0.0,0.0
2016-01-07,40.28,37.58,0.0,0.0
2016-01-08,40.28,37.58,0.0,0.0
2016-01-09,40.46,39.2,0.0,0.0
2016-01-10,42.620000000000005,39.2,1.8,0.0
2016-01-11,39.2,36.68,0.0,0.0
2016-01-12,39.92,36.5,0.0,0.0
2016-01-13,37.4,35.96,0.0,0.0
2016-01-14,38.839999999999996,35.96,0.0,0.0
2016-01-15,41.18,38.12,0.0,0.0
2016-01-16,41.36,39.56,0.24,0.0
2016-01-17,39.56,37.4,0.05,0.4
2016-01-18,37.58,35.24,0.0,0.0
2016-01-19,37.04,34.88,0.0,0.0
2016-01-20,38.660000000000004,36.86,0.0,0.0
2016-01-21,38.48,36.68,0.0,0.0
2016-01-22,37.4,35.78,0.01,0.2
2016-01-23,36.86,36.32,2.31,27.3
2016-01-24,38.3,35.6,0.0,0.0
2016-01-25,39.02,37.04,0.0,0.0
2016-01-26,40.64,38.839999999999996,0.0,0.0
2016-01-27,40.46,38.12,0.0,0.0
2016-01-28,39.56,37.76,0.0,0.0
2016-01-29,39.38,37.4,0.0,0.0
2016-01-30,39.02,37.04,0.0,0.0
2016-01-31,42.08,38.48,0.0,0.0
2016-02-01,42.620000000000005,39.92,0.01,0.0
2016-02-02,41.0,38.839999999999996,0.0,0.0
2016-02-03,42.620000000000005,39.56,0.73,0.0
2016-02-04,42.620000000000005,39.92,0.0,0.0
2016-02-05,39.92,37.58,0.53,2.5
2016-02-06,39.2,37.4,0.0,0.0
2016-02-07,40.46,37.94,0.0,0.0
2016-02-08,39.02,37.04,0.05,0.1
2016-02-09,38.48,36.86,0.0,0.0
2016-02-10,39.02,37.58,0.01,0.0
2016-02-11,37.58,35.24,0.0,0.0
2016-02-12,36.86,34.7,0.0,0.0
2016-02-13,35.96,33.08,0.0,0.0
2016-02-14,34.7,31.82,0.0,0.0
2016-02-15,38.3,34.34,0.44,1.4
2016-02-16,41.72,38.3,1.01,0.0
2016-02-17,39.02,38.3,0.0,0.0
2016-02-18,38.48,36.86,0.0,0.0
2016-02-19,39.02,36.32,0.0,0.0
2016-02-20,42.980000000000004,39.02,0.0,0.0
2016-02-21,41.9,39.92,0.03,0.0
2016-02-22,41.36,38.839999999999996,0.0,0.0
2016-02-23,39.2,38.3,0.3,0.0
2016-02-24,42.8,38.48,1.22,0.0
2016-02-25,42.980000000000004,38.660000000000004,0.02,0.0
2016-02-26,39.02,36.86,0.0,0.0
2016-02-27,39.38,36.68,0.0,0.0
2016-02-28,42.8,38.839999999999996,0.0,0.0
2016-02-29,42.980000000000004,40.46,0.05,0.0
2016-03-01,41.36,39.02,0.0,0.0
2016-03-02,41.9,37.22,0.14,0.0
2016-03-03,38.48,36.68,0.0,0.0
2016-03-04,39.02,37.4,0.11,0.4
2016-03-05,39.38,37.04,0.0,0.0
2016-03-06,39.92,37.76,0.0,0.0
2016-03-07,42.8,38.48,0.0,0.0
2016-03-08,44.06,40.46,0.0,0.0
2016-03-09,45.86,39.92,0.0,0.0
2016-03-10,46.22,43.34,0.0,0.0
2016-03-11,44.239999999999995,40.64,0.06,0.0
2016-03-12,42.620000000000005,39.2,0.0,0.0
2016-03-13,43.16,41.0,0.0,0.0
2016-03-14,41.18,39.2,0.29,0.0
2016-03-15,42.260000000000005,39.92,0.0,0.0
2016-03-16,43.7,40.64,0.02,0.0
2016-03-17,43.34,40.1,0.0,0.0
2016-03-18,42.260000000000005,39.56,0.0,0.0
2016-03-19,40.28,38.48,0.0,0.0
2016-03-20,39.74,37.76,0.07,0.0
2016-03-21,41.0,37.76,0.06,0.5
2016-03-22,42.08,38.3,0.0,0.0
2016-03-23,44.78,40.64,0.0,0.0
2016-03-24,41.9,39.92,0.0,0.0
2016-03-25,44.96,39.92,0.04,0.0
2016-03-26,41.9,38.839999999999996,0.0,0.0
2016-03-27,41.9,39.74,0.0,0.0
2016-03-28,43.16,39.56,0.38,0.0
2016-03-29,41.54,39.2,0.0,0.0
2016-03-30,42.08,38.660000000000004,0.0,0.0
2016-03-31,45.14,40.82,0.0,0.0
2016-04-01,46.22,42.980000000000004,0.02,0.0
2016-04-02,42.980000000000004,40.82,0.16,0.0
2016-04-03,41.0,38.12,0.09,0.0
2016-04-04,40.1,37.22,0.47,0.0
2016-04-05,39.74,36.68,0.0,0.0
2016-04-06,40.64,37.4,0.0,0.0
2016-04-07,42.44,40.64,0.09,0.0
2016-04-08,41.0,39.2,0.01,0.0
2016-04-09,39.74,38.48,0.11,0.0
2016-04-10,41.0,37.58,0.0,0.0
2016-04-11,43.7,39.74,0.01,0.0
2016-04-12,42.620000000000005,40.1,0.2,0.0
2016-04-13,42.44,39.2,0.0,0.0
2016-04-14,43.16,39.74,0.0,0.0
2016-04-15,43.7,39.56,0.0,0.0
2016-04-16,44.239999999999995,39.74,0.0,0.0
2016-04-17,45.5,39.92,0.0,0.0
2016-04-18,46.76,41.18,0.0,0.0
2016-04-19,45.14,41.9,0.0,0.0
2016-04-20,44.42,40.82,0.0,0.0
2016-04-21,45.14,40.82,0.0,0.0
2016-04-22,46.22,43.16,0.0,0.0
2016-04-23,44.78,41.72,0.16,0.0
2016-04-24,44.239999999999995,40.46,0.0,0.0
2016-04-25,44.42,41.0,0.0,0.0
2016-04-26,42.8,40.46,0.24,0.0
2016-04-27,43.16,40.28,0.0,0.0
2016-04-28,42.620000000000005,40.64,0.0,0.0
2016-04-29,42.44,40.1,0.05,0.0
2016-04-30,43.7,40.28,0.0,0.0
2016-05-01,41.18,40.1,0.16,0.0
2016-05-02,42.8,40.1,0.04,0.0
2016-05-03,42.08,41.18,0.61,0.0
2016-05-04,41.36,40.64,0.01,0.0
2016-05-05,42.260000000000005,40.28,0.0,0.0
2016-05-06,41.72,40.64,0.54,0.0
2016-05-07,42.8,40.64,0.0,0.0
2016-05-08,43.879999999999995,40.82,0.16,0.0
2016-05-09,44.96,41.36,0.0,0.0
2016-05-10,43.34,41.0,0.0,0.0
2016-05-11,45.68,41.0,0.0,0.0
2016-05-12,46.4,42.08,0.0,0.0
2016-05-13,43.7,42.260000000000005,0.25,0.0
2016-05-14,45.14,42.08,0.0,0.0
2016-05-15,42.620000000000005,40.28,0.0,0.0
2016-05-16,43.879999999999995,39.74,0.0,0.0
2016-05-17,43.519999999999996,41.36,0.0,0.0
2016-05-18,44.239999999999995,41.36,0.0,0.0
2016-05-19,45.14,41.72,0.0,0.0
2016-05-20,45.68,41.54,0.0,0.0
2016-05-21,43.879999999999995,41.72,0.04,0.0
2016-05-22,44.6,41.36,0.09,0.0
2016-05-23,46.04,42.08,0.02,0.0
2016-05-24,45.14,42.44,0.18,0.0
2016-05-25,47.84,42.980000000000004,0.0,0.0
2016-05-26,48.2,44.42,0.0,0.0
2016-05-27,47.66,45.14,0.0,0.0
2016-05-28,48.56,44.78,0.0,0.0
2016-05-29,47.66,44.6,0.0,0.0
2016-05-30,46.76,44.239999999999995,1.65,0.0
2016-05-31,47.3,44.78,0.0,0.0
2016-06-01,46.94,43.879999999999995,0.0,0.0
2016-06-02,46.04,43.16,0.0,0.0
2016-06-03,44.6,43.34,0.04,0.0
2016-06-04,46.94,43.879999999999995,0.4,0.0
2016-06-05,44.78,43.7,0.91,0.0
2016-06-06,46.94,43.7,0.0,0.0
2016-06-07,47.3,43.519999999999996,0.0,0.0
2016-06-08,44.06,41.36,0.45,0.0
2016-06-09,44.78,41.72,0.0,0.0
2016-06-10,45.86,42.260000000000005,0.0,0.0
2016-06-11,47.84,42.620000000000005,0.0,0.0
2016-06-12,46.94,43.16,0.0,0.0
2016-06-13,45.32,42.260000000000005,0.0,0.0
2016-06-14,46.22,42.44,0.0,0.0
2016-06-15,47.3,43.16,0.0,0.0
2016-06-16,45.32,43.7,0.22,0.0
2016-06-17,46.04,43.34,0.0,0.0
2016-06-18,47.66,42.980000000000004,0.0,0.0
2016-06-19,47.84,43.879999999999995,0.0,0.0
2016-06-20,47.120000000000005,43.519999999999996,0.0,0.0
2016-06-21,47.66,44.96,0.0,0.0
2016-06-22,47.48,44.239999999999995,0.0,0.0
2016-06-23,46.94,44.42,0.0,0.0
2016-06-24,47.120000000000005,44.06,0.0,0.0
2016-06-25,47.48,43.519999999999996,0.0,0.0
2016-06-26,47.66,44.06,0.0,0.0
2016-06-27,46.94,44.06,0.45,0.0
2016-06-28,45.68,44.239999999999995,0.12,0.0
2016-06-29,46.94,44.06,0.01,0.0
2016-06-30,47.3,44.06,0.0,0.0
2016-07-01,46.22,43.879999999999995,0.83,0.0
2016-07-02,45.68,43.34,0.0,0.0
2016-07-03,46.04,43.519999999999996,0.0,0.0
2016-07-04,47.120000000000005,43.879999999999995,0.49,0.0
2016-07-05,47.48,44.42,0.66,0.0
2016-07-06,48.379999999999995,45.5,0.0,0.0
2016-07-07,48.02,45.86,0.04,0.0
2016-07-08,47.48,44.06,0.08,0.0
2016-07-09,44.96,43.7,0.53,0.0
2016-07-10,46.4,43.879999999999995,0.0,0.0
2016-07-11,46.58,43.7,0.0,0.0
2016-07-12,46.76,44.239999999999995,0.0,0.0
2016-07-13,47.3,44.78,0.0,0.0
2016-07-14,47.84,45.14,0.62,0.0
2016-07-15,47.84,46.22,0.0,0.0
2016-07-16,48.2,45.5,0.0,0.0
2016-07-17,48.02,45.5,0.0,0.0
2016-07-18,48.74,44.96,0.35,0.0
2016-07-19,46.94,45.14,0.0,0.0
2016-07-20,47.3,44.239999999999995,0.0,0.0
2016-07-21,48.2,44.78,0.0,0.0
2016-07-22,48.92,45.32,0.0,0.0
2016-07-23,49.28,46.4,0.0,0.0
2016-07-24,48.92,45.5,0.0,0.0
2016-07-25,48.74,45.14,1.0,0.0
2016-07-26,48.02,44.96,0.0,0.0
2016-07-27,48.379999999999995,45.32,0.0,0.0
2016-07-28,49.1,45.5,0.0,0.0
